tipo,hora,cantidad
PELIGRO,0,179
PELIGRO,1,296
PELIGRO,2,343
PELIGRO,3,451
PELIGRO,4,352
PELIGRO,5,176
PELIGRO,6,132
PELIGRO,7,116
PELIGRO,14,52
PELIGRO,15,233
PELIGRO,16,116
PELIGRO,17,293
PELIGRO,18,234
PELIGRO,19,60
PELIGRO,20,199
PELIGRO,21,304
PELIGRO,22,122
PELIGRO,23,364
POLICIA,0,39
POLICIA,1,38
POLICIA,2,31
POLICIA,3,51
POLICIA,4,29
POLICIA,5,4
POLICIA,6,1
POLICIA,7,1
POLICIA,14,11
POLICIA,15,58
POLICIA,16,47
POLICIA,17,91
POLICIA,18,67
POLICIA,19,21
POLICIA,20,50
POLICIA,21,88
POLICIA,22,37
POLICIA,23,77
ACCIDENTE,0,7
ACCIDENTE,1,11
ACCIDENTE,2,9
ACCIDENTE,3,6
ACCIDENTE,4,7
ACCIDENTE,7,1
ACCIDENTE,15,6
ACCIDENTE,16,2
ACCIDENTE,17,5
ACCIDENTE,18,2
ACCIDENTE,19,3
ACCIDENTE,20,4
ACCIDENTE,21,9
ACCIDENTE,22,5
ACCIDENTE,23,11
CAMINO CORTADO,0,166
CAMINO CORTADO,1,213
CAMINO CORTADO,2,231
CAMINO CORTADO,3,389
CAMINO CORTADO,4,290
CAMINO CORTADO,5,178
CAMINO CORTADO,6,87
CAMINO CORTADO,7,87
CAMINO CORTADO,15,124
CAMINO CORTADO,16,7
CAMINO CORTADO,17,125
CAMINO CORTADO,18,173
CAMINO CORTADO,19,2
CAMINO CORTADO,20,49
CAMINO CORTADO,21,238
CAMINO CORTADO,22,69
CAMINO CORTADO,23,193
